Prediction result:

-0.33,3.071
-0.342,-1.743
1.93,1.43
3.022,0.577
-0.395,-2.828
2.731,-0.96
-2.328,-2.162
1.56,-2.362
-3.355,-0.16
2.996,-0.196
3.094,0.013
-2.287,-1.239
0.781,-2.834
-0.75,3.039
-2.287,-1.24
-1.969,-2.718
3.022,-0.97
0.388,2.837
1.85,1.207
-2.337,2.297
2.455,-0.473
-1.197,2.542
1.843,2.846
-0.34,-3.216
-3.372,-0.245
1.155,2.178
-2.246,-2.37
2.854,0.888
1.965,-2.171
-0.297,3.024
-2.433,1.441
-1.652,1.745
-1.682,-2.501
0.134,-2.599
-3.143,-0.943
-1.556,-2.549
0.996,-2.936
-2.933,0.831
1.622,-1.233
-2.776,1.168
-0.123,-3.174
-2.356,-1.018
-1.722,-0.811
0.512,-2.795
-2.325,1.5
-0.555,-1.676
2.924,0.08
3.052,-0.008
-1.603,1.954
1.56,2.901
-2.125,2.262
1.395,-2.741
-2.333,1.635
1.472,-2.252
3.234,0.758
2.62,1.04
0.37,-3.128
1.798,-2.524
-2.27,-1.239
3.132,0.758
-1.524,-0.555
3.032,-0.356
2.461,-1.824
-2.708,0.554
2.299,1.27
2.178,-1.863
-2.138,1.66
-0.065,3.265
-2.975,0.442
1.311,-2.986
2.355,2.37
-0.933,-2.681
2.925,-0.683
3.016,0.765
1.447,-1.953
1.947,0.299
-0.226,-2.831
0.673,2.91
3.022,-0.97
3.305,-0.011
2.427,-1.59
0.987,2.311
0.425,-3.005
2.486,-2.196
-1.027,2.311
-0.914,2.898
-2.053,-1.67
-2.443,-1.102
2.931,0.219
-0.556,-3.033
0.507,2.007
-0.122,-2.125
2.322,0.572
1.55,-2.674
2.744,0.479
-2.818,-0.492
2.62,1.04
0.916,-1.857
-1.757,2.248
-0.897,2.721
-2.147,-2.571
-1.621,2.399
-0.109,1.195
0.735,2.612
1.937,2.807
-2.972,0.319
-1.509,3.107
-3.294,0.018
-0.146,-2.99
3.094,0.013
-1.969,-2.718
-3.103,-1.289
-1.114,-3.042
2.551,1.095
1.262,-2.696
-2.866,-1.658
1.622,-1.233
2.234,1.679
2.882,0.004
-1.745,2.281
-2.125,2.262
1.443,2.863
2.227,2.397
-1.657,-2.815
-2.376,-2.129
1.002,-3.094
2.651,-2.012
-2.627,-1.801
-2.011,-1.765
-0.484,-2.169
-3.082,-1.058
1.644,-3.143
-0.484,-2.169
1.798,-2.133
0.497,2.509
-2.467,-0.352
-2.982,0.0
-1.969,-2.718
1.622,-1.233
-1.474,-2.67
-1.875,2.158
-2.287,1.898
2.995,0.993
0.109,1.53
2.852,-0.264
-1.864,-1.962
2.868,-1.577
1.905,-2.011
0.212,-2.856
0.497,2.509
-0.731,2.608
-2.921,-0.894
3.022,-0.97
-2.982,1.137
1.661,0.438
1.472,-2.252
-1.803,-0.063
1.85,1.207
1.16,2.589
2.355,2.37
1.475,1.928
2.607,-1.053
2.386,2.207
-2.982,1.137
0.431,-2.936
2.284,2.541
1.622,2.491
-0.305,2.912
-0.681,3.347
-2.78,0.838
-2.883,-1.272
-1.182,2.143
0.327,2.702
2.454,-1.261
-2.029,-1.732
3.07,-0.926
-1.288,-3.072
1.214,-3.007
1.873,2.835
1.648,-2.302
2.731,-0.96
-2.15,-2.138
2.56,-1.097
1.217,0.827
1.386,2.432
1.656,0.473
-2.975,0.023
-1.648,2.68
2.004,2.777
-2.579,-1.278
-3.313,-0.551
3.032,-0.356
-1.682,-2.501
-3.186,-0.93
2.231,0.648
-3.186,-0.93
2.361,2.001
2.995,0.993
-0.392,1.321
-2.147,-2.571
